species,family,order,fishbase_name,column_pos,depth_min,depth_max,length (cm),length_type,diet_fishbase,migration,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental care,fecundity,life_span,social,sources,Comments,AddRems,fish,decapod,pelagic_crustacean,Pteropoda,worm,tunicate,cephalopod,gastropod,Ctenophora,echinoderm,Bivalvia,Cnidaria,eggs,bird,
Sebastes wilsoni,Scorpaenidae,Scorpaeniformes,Sebastes wilsoni,demersal,29,274,23,TL,NA,,planktivore,Love 2011,pelagic,terminal,truncate,rocky bottoms,demersal,8.8,12.1,,,,Love 2011,,,26,schooling,Kolora et al. 2021,An offshore species (Ref. 27437).  Viviparous (Ref. 34817).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastes zacentrus,Scorpaenidae,Scorpaeniformes,Sebastes zacentrus,bathydemersal,25,660,45,TL,NA,,invertivore,NOAA,,terminal,truncate,soft bottoms,benthic,,,,,,,,,58,,Blake et al. supp mat,Found on soft bottoms (Ref. 2850).  Viviparous (Ref. 34817).,NA,0.523560209,4.712041885,78.0104712,6.806282723,9.947643979,0,0,0,0,0,0,0,0,0,
Sebastolobus alascanus,Scorpaenidae,Scorpaeniformes,Sebastolobus alascanus,demersal,17,1524,82.6,TL,filtering plankton,,planktivore,fishbase,,terminal,rounded,soft bottoms,benthic,2,10.2,,,,Love 2011,,2000000,108,solitary,"Blake et al. supp mat, Love 2011",Very common on soft bottoms (Ref. 2850).  Oviparous (Ref. 205).  Eggs are extruded in floating gelatinous masses (Ref. 31279).  Have a thick glandular tissue on posterior margin of fin spines which is believed to be venomous (Ref. 57406).  Rarely taken by game fishers (Ref. 27436).  Flesh sweeter than that of other rockfishes (Ref. 27436).,NA,13.60737066,41.67257264,36.85329554,0.070871722,4.53579022,0.141743444,2.055279943,0.141743444,0,0.708717222,0.141743444,0,0.070871722,0,
Sebastolobus altivelis,Scorpaenidae,Scorpaeniformes,Sebastolobus altivelis,bathydemersal,201,1756,38,TL,NA,,generalist,Love 2011,variable,terminal,truncate,soft bottoms,benthic,2,8.1,,,,Love 2011,,106000,65,solitary,Love 2011,Adults occur on soft bottom of offshore waters (Ref. 2850).  Juveniles occur in midwater (Ref. 2850).  Oviparous (Ref. 205).  Eggs are spawned in pelagic gelatinous masses (Ref. 59312).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sebastolobus macrochir,Scorpaenidae,Scorpaeniformes,Sebastolobus macrochir,bathydemersal,110,1504,35,TL,filtering plankton,,planktivore,fishbase,variable,terminal,truncate,,benthic,,,,,,,,,34,,Love 2011,Occurs in places with the steepest downthrow and sharp bends of sea bottom often in the places of the slope surrounded by large depths (the steep bottom relief causes vertical turbulent currents that provide the accumulation of food items) (Ref. 26289).  Oviparous (Ref. 205).  Eggs are extruded in floating gelatinous masses (Ref. 52092).,"Occurs in places with the steepest downthrow and sharp bends of sea bottom often in the places of the slope surrounded by large depths (the steep bottom relief causes vertical turbulent currents that provide the accumulation of food items) (Ref. 26289).  Feeds on bottom organisms (Ophiuroidea, Amphipoda) and on pelagics such as young squids (Ref. 26289).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Acantholumpenus mackayi,Stichaeidae,Perciformes,Acantholumpenus mackayi,demersal,0,56,70,SL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,rounded,sandy mud bottoms,benthic,2.4,15,8,,enters brackish water,USGS,,32000,16,solitary,"Mecklenburg et al 2018, Beukhof et al. 2019, Coad et al. 2018","Found over mud and sand bottoms to depths of about 56 meters; often in brackish waters (Ref. 51666).  Benthic; feeds on worms, crustaceans, sea urchins and molluscs (Ref. 58426).","Found over mud and sand bottoms to depths of about 56 meters; often in brackish waters (Ref. 51666).  Benthic; feeds on worms, crustaceans, sea urchins and molluscs (Ref. 58426).",0,2.702702703,54.95495495,0,25.22522523,0,0,1.801801802,0,1.801801802,13.51351351,0,0,0,found in brackish water
Anisarchus medius,Stichaeidae,Perciformes,Anisarchus medius,demersal,10,150,18,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,rounded,soft bottoms,benthic,-1.7,7.9,31.3,33.3,,mecks,brooding,700,13,,"Wiedmann 2015, Wiedmann 2014","Found on muddy bottoms, generally preferring water below 0¬?C and salinities above 30 ppt. (Ref. 10571).  Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 10571).","Found on muddy bottoms, generally preferring water below 0¬?C and salinities above 30 ppt. (Ref. 10571).  Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 10571).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Eumesogrammus praecisus,Stichaeidae,Perciformes,Eumesogrammus praecisus,benthopelagic,16,400,23,TL,NA,,invertivore,fishbase,benthic,terminal,rounded,sandy bottoms,demersal,-1.3,4,32,33.3,,mecks,brooding,,,,,"Occurs over sand to gravel-and-stone bottoms at depths of 16-400 meters, typically shallower than 70 meters (Ref. 51666).  Benthic; feeds on crustaceans (Ref. 58426).","Occurs over sand to gravel-and-stone bottoms at depths of 16-400 meters, typically shallower than 70 meters (Ref. 51666).  Benthic; feeds on crustaceans (Ref. 58426).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Leptoclinus maculatus,Stichaeidae,Perciformes,Leptoclinus maculatus,demersal,2,475,20,TL,hunting macrofauna (predator),,invertivore,fishbase,variable,inferior,truncate,sandy mud bottoms,benthic,-1.6,11.5,25.8,35,,mecks,,1000,10,,Beukhof et al. 2019,"Adults, juveniles, and late postlarvae are found on sandy and mud to pebble bottoms, usually in less than 170 meters (Ref. 2850, 51666, 120227), while early postlarvae are pelagic (Ref. 120227). Food consists of polychaetes and crustaceans (Ref. 10571). They are an important prey for pelagic (as larvae) and benthic (as adults) predators (Ref. 120226). Sexual dimorphism is more pronounced after maturation with males displaying faster somatic growth (Ref. 120226).","Inhabits sandy bottoms (Ref. 2850); mud to pebble bottom, usually in less than 170 meters (Ref. 51666).  Benthic (Ref. 58426).  Feeds on polychaetes and crustaceans (Ref. 10571).",0,0,42.85714286,0,57.14285714,0,0,0,0,0,0,0,0,0,
Lumpenella longirostris,Stichaeidae,Perciformes,Lumpenella longirostris,demersal,25,1140,42,TL,selective plankton feeding,,planktivore,fishbase,,inferior,rounded,soft bottoms,benthic,,,,,,,,,,,,Found offshore (Ref. 2850); possibly the deepest-living lumpenine (Ref. 51666).,Juveniles were found eating copepods almost exclusively (Ref. 6885).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lumpenus fabricii,Stichaeidae,Perciformes,Lumpenus fabricii,demersal,0,235,36.5,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,rocky bottoms,benthic,-1.6,15.6,12,28.3,,"mecks, Coad et al. 2018,USGS",,490,17,schooling,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, Coad et al. 2018","Inhabits sandy to rocky bottoms, often in seagrass or algae; rarely, if ever, found in intertidal area (Ref. 51666).  Feeds on crustaceans, worms, clams, and fish eggs (Ref. 58426).","Inhabits sandy to rocky bottoms, often in seagrass or algae; rarely, if ever, found in intertidal area (Ref. 51666).  Benthic (Ref. 5951).  Feeds on crustaceans, worms, clams, and fish eggs (Ref. 58426).",0,0,55.14511873,0,30.8707124,0,0,0.527704485,0,0,13.45646438,0,0,0,
Stichaeus punctatus,Stichaeidae,Perciformes,Stichaeus punctatus punctatus,demersal,0,100,22,TL,hunting macrofauna (predator),,invertivore,fishbase,variable,terminal,rounded,rocky bottoms,benthic,-1.4,10.5,30.62,32.56,,USGS,,2475,16,,"Coad et al. 2018, USGS",Found in subtidal rocky to sandy areas (Ref. 2850).  Benthic; feeds on crustaceans and worms (Ref. 58426).,"Found in subtidal rocky to sandy areas (Ref. 2850).  Benthic; feeds on crustaceans and worms (Ref. 58426).  Preyed upon by cod, Greenland halibut and Atlantic cod.  Parasite of the species is known to be acanthocephalan (Ref. 5951).",0,25,25,0,50,0,0,0,0,0,0,0,0,0,
Trichodon trichodon,Trichodontidae,Perciformes,Trichodon trichodon,demersal,0,375,30.5,TL,hunting macrofauna (predator),,piscivore,fishbase,benthic,superior,forked,sandy mud bottoms,buried,-0.6,12,,,,Love 2011,,1000,9,schooling,Love 2011,"Adults are found in deeper waters whereas larvae and juveniles occupy shallow, nearshore habitats (Ref. 57910).  Usually buried in muddy or sandy bottoms with mouth protruding (Ref. 2850).  Eggs are laid in a gelatinous mass that is attached to rocks (Ref. 2850).  Some have been caught by hand in shallow water (Ref. 2850).","Adults are found in deeper waters whereas larvae and juveniles occupy shallow, nearshore habitats (Ref. 57910).  Usually buried in muddy or sandy bottoms with mouth protruding (Ref. 2850). Larvae and juveniles use shallow, nearshore habitats, whereas most adults occupy deeper waters farther from shore (Ref. 57910).  Water temperature in summer and winter were about 10¬?C and 4¬?C, and salinity ranged from 30 to 33 PSS.  Both planktivorous and piscivorous (Ref. 57910).",100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zaprora silenus,Zaproridae,Perciformes,Zaprora silenus,demersal,0,675,88,TL,hunting macrofauna (predator),,planktivore,fishbase,pelagic,terminal,rounded,rocky bottoms,demersal,0.2,8.5,,,brackish,Love 2011,,,20,,Blake et al. supp mat,"Adults occur near bottom (Ref. 2850).  Young to 7.2 cm are pelagic or bathypelagic, usually associated with jellyfish (Ref. 6885). Juveniles take shelter under the medusae and are often mistaken for medusafish <i>Icichthys lockingtoni</i> (Ref. 50276).","Pre-adults stage are pelagic and become demersal. Found in rocky areas. Prowfish feeds gelatinous zooplankton, primarily scyphozoa and salps.  Also found in the stomach of juveniles (5-13.3 cm) are hyperiid amphipods and remains of jellyfish tentacles (Ref. 50718).",3.29218107,0,41.15226337,0,3.29218107,16.87242798,0.411522634,0,6.995884774,0,0,27.98353909,0,0,
Bothrocara brunneum,Zoarcidae,Perciformes,Bothrocara brunneum,bathydemersal,199,1829,74,TL,hunting macrofauna (predator),,invertivore,NOAA,benthic,terminal,rounded,sandy mud bottoms,benthic,2.4,7,,,,Love 2011,,1960,,,,"Found on mud or sandy-mud bottoms (Ref. 2850).  The stomach contents indicate that it feeds upon a wide variety of bottom-dwelling organisms, probably eating anything it encounters that has food value and is small enough to ingest (Ref. 4525).",NA,0,90,0,0,10,0,0,0,0,0,0,0,0,0,
Bothrocara zestum,Zoarcidae,Perciformes,NA,bathydemersal,199,1620,70,TL,NA,,generalist,https://link.springer.com/article/10.1007/s10641-010-9594-0,benthic,terminal,rounded,,benthic,,,,,,,,,,,,NA,NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gymnelus hemifasciatus,Zoarcidae,Perciformes,Gymnelus hemifasciatus,demersal,9,200,18,TL,NA,,invertivore,USGS,benthic,terminal,rounded,mud gravel ,benthic,-1.8,10.5,30.62,33.44,,mecks,,,,,,Inhabits continental shelves (Ref. 11954).  Minimum depth from type locality data (Ref. 51665).  Benthic (Ref. 58426).,Inhabits continental shelves (Ref. 11954).  Minimum depth from type locality data (Ref. 51665).  Benthic (Ref. 58426).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lycenchelys crotalinus,Zoarcidae,Perciformes,Lycenchelys crotalinus,bathydemersal,200,2816,42.2,TL,NA,,invertivore,imputed,benthic,inferior,rounded,mud bottoms,benthic,,,,,,,,,,,,Found on muddy bottoms (Ref. 2850).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lycodes beringi,Zoarcidae,Perciformes,Lycodes beringi,bathydemersal,76,760,35.6,TL,NA,,invertivore,NOAA,,inferior,rounded,mud bottoms,benthic,,,,,,,,,,,,NA,NA,0,0,50,0,0,0,0,0,0,0,50,0,0,0,
Lycodes brevipes,Zoarcidae,Perciformes,Lycodes brevipes,demersal,25,973,32,TL,hunting macrofauna (predator),,invertivore,NOAA,,inferior,rounded,sandy mud bottoms,benthic,-1.4,,,,,Love 2011,,,,,,Found on sandy or muddy bottoms (Ref. 2850).,NA,0.427350427,1.282051282,33.76068376,0,43.16239316,0,0,0,0,18.37606838,2.564102564,0.427350427,0,0,
Lycodes concolor,Zoarcidae,Perciformes,Lycodes concolor,bathydemersal,42,1025,80,TL,NA,,invertivore,NOAA,,inferior,rounded,,benthic,,,,,,,,,,,,NA,NA,3.333333333,3.333333333,30,0,50,0,3.333333333,0,0,10,0,0,0,0,
Lycodes diapterus,Zoarcidae,Perciformes,Lycodes diapterus,bathydemersal,13,1300,37,TL,NA,,invertivore,Love 2011,,inferior,rounded,mud bottoms,benthic,,,,,,,,,,,,Found on muddy bottoms (Ref. 2850).  May be used as bait (Ref. 27436).  Flesh considered firm and tasty but not esteemed (Ref. 27436).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lycodes mucosus,Zoarcidae,Perciformes,Lycodes mucosus,demersal,13,80,49,TL,hunting macrofauna (predator),,generalist,fishbase,,inferior,rounded,sandy and rocky bottoms,benthic,-1.5,10.5,20,32.91,,Coad et al. 2018,,,,,,Benthic; feeds on fishes and crustaceans (Ref. 58426).,Benthic; feeds on fishes and crustaceans (Ref. 58426).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lycodes palearis,Zoarcidae,Perciformes,Lycodes palearis,bathydemersal,25,925,53,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,inferior,rounded,sandy mud bottoms,benthic,-1.7,14.6,,,,USGS,,,,,,Found on muddy or sandy bottoms (Ref. 2850).  Feeds on small bivalves and shrimps (Ref. 6885).,NA,2.352941176,17.05882353,48.43137255,0,18.23529412,0,0.196078431,0.196078431,0,6.274509804,7.254901961,0,0,0,
Lycodes polaris,Zoarcidae,Perciformes,Lycodes polaris,demersal,5,236,25,TL,hunting macrofauna (predator),,generalist,NOAA,benthic,inferior,rounded,sandy mud bottoms,buried,-1.6,9,24,32.5,,Coad et al. 2018,,187,5,,Beukhof et al. 2019,Found on muddy bottoms (Ref. 4695).  Buries into the mud tail first (Ref. 4695).  Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 4695); mainly of amphipods (Ref. 5951).,Found on muddy bottoms (Ref. 4695).  Buries into the mud tail first (Ref. 4695).  Benthic (Ref. 58426).  Feeds on small benthic invertebrates (Ref. 4695).,50,0,0,0,0,0,0,0,0,0,50,0,0,0,
Lycodes raridens,Zoarcidae,Perciformes,Lycodes raridens,demersal,8,360,70,TL,variable,non-migratory,generalist,NOAA,benthic,inferior,rounded,sandy bottoms,benthic,-1.7,7.9,28.7,33.5,,"mecks, USGS",,,7,,Beukhof et al. 2019,NA,NA,5.66572238,1.274787535,69.54674221,0,16.57223796,0,0,0.283286119,0,0.424929178,6.232294618,0,0,0,
Lycodes turneri,Zoarcidae,Perciformes,Lycodes turneri,demersal,10,125,64,TL,NA,,invertivore,https://www.sciencedirect.com/science/article/pii/S0967064514000666?casa_token=d7SQg2kjxroAAAAA:CGLYtt0T8_Ba2SMHJ0G34eP6ZPlqfHPgn4luwx__eNd29oOavQxA94bYxpP1aNS_ndfN5lb-mh8#f0005,benthic,inferior,rounded,soft bottoms,benthic,,,,,mostly in estuaries,USGS,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
