species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Leuroglossus stilbius,Bathylagidae,Osmeriformes,Leuroglossus stilbius,bathypelagic,25,850,NA,15,TL,variable,generalist,generalist,Beukhof et al. 2019,pelagic,terminal,forked,pelagic,pelagic,NA,"Abundant in midwater from near surface to 690 m (Ref. 2850).  Oviparous, with planktonic eggs and larvae (Ref. 35604).",NA,NA,NA,NA,NA,NA,non-guarder,NA,5,NA,Beukhof et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bathymaster caeruleofasciatus,Bathymasteridae,Perciformes,Bathymaster caeruleofasciatus,demersal,0,95,NA,30,TL,NA,NA,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,rocky bottoms,crevices,NA,Inhabits rocky areas (Ref. 2850).  Retreats into a hole or crevice (Ref. 2850).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathymaster derjugini,Bathymasteridae,Perciformes,Bathymaster derjugini,demersal,0,65,NA,18,TL,NA,NA,NA,NA,NA,terminal,truncate,rocky bottoms,crevices,NA,Inhabits rocky shore areas.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathymaster leurolepis,Bathymasteridae,Perciformes,Bathymaster leurolepis,demersal,0,80,NA,21,TL,NA,NA,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,rocky bottoms,crevices,NA,Inhabits tide pools and shallow inshore areas (Ref. 2850).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Bathymaster signatus,Bathymasteridae,Perciformes,Bathymaster signatus,NA,25,300,NA,38,TL,hunting macrofauna (predator),benthivorous,invertivore,NOAA,benthic,terminal,truncate,sandy and rocky bottoms,benthic,NA,Adults are found offshore on soft bottoms (Ref. 2850); and deeper (to 300 m) than other ronquils (Ref. 48889). Reaches more than 38 cm (Ref. 48889).,NA,NA,NA,NA,NA,NA,guarder,90351,9,NA,"Blake et al. supp mat, Beukhof et al. 2019",3.883495146,5.825242718,66.01941748,0,10.67961165,5.825242718,2.912621359,0,0,1.941747573,1.941747573,0,0.970873786,0,TRUE
Ronquilus jordani,Bathymasteridae,Perciformes,Ronquilus jordani,demersal,3,275,NA,20,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,benthic,terminal,rounded,all,benthic,NA,Usually among rocks (Ref. 2850).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,0,0,50,0,50,0,0,0,0,0,0,0,0,0,TRUE
Porichthys notatus,Batrachoididae,Batrachoidiformes,Porichthys notatus,demersal,0,366,NA,38,TL,variable,generalist,generalist,Beukhof et al. 2019,pelagic,terminal,rounded,rocky bottoms,benthic,Found in inshore waters of the continental shelf (Ref. 75154).,"Ranges from intertidal areas (where they may remain out of water under rocks or seaweeds, Ref. 31184) to deeper water over sand and mud bottoms (Ref. 4925).  Adults make vertical migrations at night (Ref. 6885).  Feed on crustaceans and fishes (Ref. 6885).  Oviparous with eggs and larvae attached to nest wall (Ref. 36489).  Nest is guarded by male (Ref. 36489).  Important prey item for seals and sea lions (Ref. 2850).  Adults breathe air when out of water (Ref. 31184).  Possess photophores which are arranged on the underside of the head in a 'U' fashion.",NA,NA,NA,NA,NA,NA,guarder,NA,7,NA,Beukhof et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Brama japonica,Bramidae,Perciformes,Brama japonica,NA,271,620,oceanodromous,61,TL,hunting macrofauna (predator),generalist,carnivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Oceanic species which occurs near the surface (Ref. 2850).  Feeds on cephalopods, fish and invertebrates (Ref. 4563).","Oceanic species which occurs near the surface (Ref. 2850).  Feeds on crustaceans (amphipods and euphausiids), small fishes and squid (Ref. 4563).  Rarely caught inshore (Ref. 2850).  Good food fish (Ref. 6885).",NA,NA,NA,NA,NA,NA,non-guarder,NA,9,schooling,"Pietsch and Orr 2019, Beukhof et al. 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Brosmophycis marginata,Bythitidae,Ophidiiformes,Brosmophycis marginata,demersal,3,256,NA,46,TL,NA,NA,NA,NA,NA,terminal,rounded,rocky bottoms,demersal,NA,A common cryptic species (Ref. 34024).  Found in rocky areas (Ref. 2850).  Live-bearers with planktonic larvae (Ref. 36488).  Flesh considered sweet and fine-textured but rarely available (Ref. 27436).,NA,NA,NA,NA,NA,NA,bearer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Trachurus symmetricus,Carangidae,Perciformes,Trachurus symmetricus,pelagic-oceanic,0,400,oceanodromous,81,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,pelagic,terminal,forked,pelagic,pelagic,"Often found offshore, up to 500 miles from the coast (Ref. 9283).  Forms large schools (Ref. 2850).  Young frequently occur in school near kelp and under piers (Ref. 2850).  Feeds mainly on small crustaceans and fish larvae (Ref. 9283).  Large individuals often move inshore and north in the summer (Ref. 2850).","Adults are often found offshore, up to 500 miles from the coast (Ref. 9283).  They form large schools (Ref. 2850).  Young frequently occur in school near kelp and under piers (Ref. 2850).  They feed mainly on small crustaceans and fish larvae (Ref. 9283).  Large individuals often move inshore and north in the summer (Ref. 2850).  Marketed fresh, smoked, canned and frozen; eaten fried, broiled and baked (Ref. 9988).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,schooling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Prionace glauca,Carcharhinidae,Carcharhiniformes,Prionace glauca,pelagic-oceanic,1,1000,oceanodromous,400,TL,hunting macrofauna (predator),piscivorous,carnivore,fishbase,pelagic,terminal,heterocercal,pelagic,pelagic,"Found worldwide in tropical and temperate seas; a pelagic species, sometimes advancing into coastal waters (Ref. 9137).  Occurs on the continental shelf (Ref. 75154).  Prefer temperatures of 7-16ª??…–C; usually found in deeper waters in the tropics (Ref. 5951).  A carnivore (Ref. 9137).  Parasites of the species include: <i>Hepatoxylon squali</i> pleurocercoid, <i>Phyllobothrium dagnallium</i>, <i>Phyllobothrium</i> sp. and <i>Platybothrium parvum</i> (Ref. 5951).","Oceanic, but may be found close inshore where the continental shelf is narrow (Ref. 6871, 58302).  Usually found to at least 150 m (Ref. 26938).  Reported from estuaries (Ref. 26340).  Epipelagic, occasionally occurs in littoral areas (Ref. 58302).  Feeds on fishes (herring, silver hake, white hake, red hake, cod, haddock, pollock, mackerel, butterfish, sea raven and flounders (Ref. 5951)), small sharks, squids, pelagic red crabs, cetacean carrion, occasional sea birds and garbage (Ref. 5578).  Viviparous (Ref. 50449).  Sexual dimorphism occurs in skin thickness of maturing and adult females (Ref. 49562).  May travel considerable distances (one specimen tagged in New Zealand was recaptured 1,200 km off the coast of Chile) (Ref. 26346).  Potentially dangerous to humans (Ref. 6871, 13513).  Marketed fresh, dried or salted, and frozen; meat utilized for consumption, hides for leather and fins for soup (Ref. 9987).  Sexually mature at 250 cm long and 4-5 years old.  The female gives birth up to 80 young measuring 40 cm long, gestation lasts almost a year (Ref. 35388).  Produces from 4 to 135 young a litter (Ref. 26938).",NA,NA,NA,NA,NA,NA,bearer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Caristius macropus,Caristiidae,Perciformes,Caristius macropus,bathypelagic,200,1450,NA,32,TL,hunting macrofauna (predator),piscivorous,piscivore,Beukhof et al. 2019,pelagic,terminal,emarginate,pelagic,pelagic,NA,"Occurs in midwaters in temperate latitudes.  Fish remains have been found in manefish stomachs (Ref. 4525).  From fry catches, it apparently reproduces in the subtropical zone (Ref. 95096).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Caulophryne jordani,Caulophrynidae,Lophiiformes,Caulophryne jordani,bathypelagic,100,1510,NA,11,TL,NA,NA,NA,NA,NA,terminal,rounded,pelagic,pelagic,NA,Bathy- and mesopelagic (Ref. 75154).  Males parasitic on the females (Ref. 559).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Caulophryne pelagica,Caulophrynidae,Lophiiformes,Caulophryne pelagica,bathypelagic,954,2500,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,pelagic,pelagic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Icichthys lockingtoni,Centrolophidae,Perciformes,Icichthys lockingtoni,pelagic-oceanic,0,900,NA,46,TL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,terminal,rounded,pelagic,pelagic,"Found near surface and to at least 91 m depth (Ref. 2850).  Young are abundant offshore, often among jellyfish (Ref. 2850).","Found near surface and to at least 91 m depth (Ref. 2850).  Young are abundant offshore, often among jellyfish (Ref. 2850).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Cryptopsaras couesii,Ceratiidae,Lophiiformes,Cryptopsaras couesii,bathypelagic,0,3085,NA,7.300000191,TL,NA,benthivorous,invertivore,fishbase,benthic,superior,rounded,NA,NA,"Males dwarfed, becoming parasitic on females.","Males dwarfed, becoming parasitic on females.  Maximum size of free-living males is 1.05 cm (Ref. 4494).  Females are oviparous, with planktonic larvae (Ref. 36494).  Eggs are presumably contained in floating gelatinous rafts (Ref. 36494 ).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Cetorhinus maximus,Cetorhinidae,Lamniformes,Cetorhinus maximus,pelagic-oceanic,0,2000,oceanodromous,1520,TL,filtering plankton,planktivorous,planktivore,fishbase,pelagic,inferior,heterocercal,pelagic,pelagic,"Selective filter feeder that orients itself towards the most productive zooplankton patches, preferring areas where zooplankton density is above 1 g/m3 (Ref. 88781). Occurrence and movements appear to be correlated to sea surface temperature, in particular to the thermal boundaries at tidal and shelf-break fronts (as these areas may have seasonally productive zooplankton patches which the shark locates and utilizes) (Ref. 50200, 88781, 88826). Often in close association with shoals of other fish such as <i>Clupea harengus</i> and <i>Scomber scombrus</i> in the Northern Atlantic (Ref. 310). During the summer months the basking shark is often seen swimming slowly near the surface with its large mouth held open for approximately 30 to 60 seconds. Water passively enters its mouth, possesses long bristly gill rakers on long gill arches to filter out the zooplankton. It periodically closes its mouth and forcefully constricts its gill arches, probably as a means to expel as much water from the buccal cavitiy (Ref. 33579). On average, about half a tonne of plankton may be found in an individual?Ž”û¥ûs stomach (Ref. 43278). During the winter months found to inhabit the deeper waters of the shelf and shelf edges of the northeast Atlantic (Ref. 50200), the winter diving behaviour may be related to the search for discrete calanoid patches at deeper depths (Ref. 50200).","The second largest shark, reportedly reaching 1,220-1,520 cm TL (Ref. 247). Thought to live up to 50 years (Ref. 9030, 89083). Semi-oceanic or oceanic species, highly migratory (Ref. 43278). Found on continental and insular shelves, offshore and often close to land, just off the surf zone; enters enclosed bays (Ref. 247). Coastal-pelagic at 1 meter to unknown depths, probably epipelagic (Ref. 58302). Occurs singly, in pairs or groups of 3 or more, or in huge schools (group of up to 100 individuals has been reported) (Ref. 6871, 43278). Prefers water temperature between 8-16 ª??…–C (Ref. 88171). Makes extensive horizontal and vertical movements along the continental shelf and shelf edge to utilize productive feeding areas (Ref. 50200). During the summer months, it is found near the surface of boreal to warm-temperate areas (Ref. 43278) feeding on zooplankton by filtering (Ref. 88781). Found in deeper waters during winter (Ref. 6871, 50200, 58302). Undertakes long transoceanic migrations (e.g. from the British Isles to Newfoundland, Canada (Ref. 88824)) and moves between the northern and southern hemisphere in tropical mesopelagic water (Ref. 88825). These migrations have been found to cover distances of over 9,000 km. May form segregations by size or sex (Ref. 88171). Ovoviviparous (Ref. 50449). Regarded as ordinarily harmless and inoffensive but potentially dangerous if attacked (particularly when harpooned) (Ref. 247). In Bay of Fundy, Canada parasitic lampreys have been found attached to the back of basking sharks and sucking their blood (Ref. 83375). Utilized fresh, frozen and dried, or salted (Ref. 9987). Also valued for its liver for oil, fins for soup, hide for leather and carcass for fishmeal (Ref. 247). May be a potential source of anti-carcinoma drugs (Ref. 6034, 6035). Used in Chinese medicine (Ref. 12166). Threatened due to bycatch fisheries (Ref. 83294).",NA,NA,NA,NA,NA,NA,bearer,NA,50,schooling,Beukhof et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Chiasmodon niger,Chiasmodontidae,Perciformes,Chiasmodon niger,pelagic-oceanic,700,2745,NA,25,SL,hunting macrofauna (predator),piscivorous,piscivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Meso- to bathypelagic species. Feeds on  whole fish, often of individuals longer than themselves.","Mesopelagic to bathypelagic species (Ref. 6944, 28429).  Specimens larger than 4.5 cm are more frequently collected between 730 and 1900 m with shallowest record being 150 m, the deepest 3900 m (mean 1390 m).  Juveniles are found in shallower water, from 0 to 1,050 m (mean 542 m), with the smallest specimens (>10.0 mm) collected nearest to the surface (Ref. 82429).  Feed on  whole fish, often of individuals longer than themselves (Ref. 9686).  Most specimens were taken at depths greater than 750 m (Ref. 6649).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Hydrolagus colliei,Chimaeridae,Chimaeriformes,Hydrolagus colliei,demersal,0,913,NA,100,TL,hunting macrofauna (predator),generalist,generalist,fishbase,benthic,inferior,pointed,rocky bottoms,demersal,Feeds on fish and benthic invertebrates (Ref. 2850). Inhabits rocky regions between Alaska and California (Ref. 9137). A carnivore (Ref. 9137).,"Found near the bottom, from close inshore to about 913 m (Ref. 2850).  Abundant in cold waters at moderate depths.  Feed on mollusks, crustaceans and fishes (Ref. 37955); also echinoderms and worms (Ref. 28499).  The spine can be dangerous and cause a painful wound (Ref. 2850).  Fishers are reputed to fear the jaws of the ratfish more than they do the dorsal spine.  Its flesh is edible but bland and leaves an unpleasant aftertaste (Ref. 28499).  The liver was used as a source of machine oil (Ref. 28499).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Gibbonsia metzi,Clinidae,Perciformes,Gibbonsia metzi,demersal,0,9,NA,24,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,rounded,rocky bottoms,benthic,"Found among seaweeds, especially in tide pools and kelp.","Found among seaweeds, especially in tide pools and kelp.",NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Alosa sapidissima,Clupeidae,Clupeiformes,Alosa sapidissima,pelagic-neritic,0,250,anadromous,76,TL,hunting macrofauna (predator),generalist,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Anadromous (Ref. 5951).  Strongly migratory (tagged individuals caught as far as 3000 km from point of release); in rivers, moves up as far as Montreal, but usually not ascending as far upstream as <i>A. pseudoharengus</i>.  Feeds on copepods, other crustacean zooplankters, aquatic insect larvae, especially chironomid larvae (important for young shad in fresh water); ostracods, amphipods, isopods, insects and small fishes in the Bay of Fundy (Ref. 5951).  No feeding during migration up rivers.  Parasites found are nematodes, distomes (trematodes) and acanthocephalans (Ref. 5951).","Spends most of its life at sea, returning to freshwater streams to breed (Ref. 27547).  Inhabits open water of large rivers (Ref. 86798). Non-spawning adults are found in schools near the surface of continental shelf waters in spring, summer and fall (Ref. 7135); also found in brackish waters (Ref. 4607).  Newly hatched larvae are found in rivers during the summer; by autumn they enter the sea and remain there until maturity.  Juveniles form schools at 20-30 mm TL and gradually move downstream (Ref. 4639).  Feeds on plankton, mainly copepods and mysids, occasionally on small fishes.  Feeding ceases during upstream spawning migration and resumes during the downstream post-spawning migration (Ref. 1998).  Commercially caught in rivers and estuaries during spawning migration (Ref. 1998).  Utilized fresh, salted, or smoked.  The roe is esteemed.  Eaten pan-fried, broiled, and baked (Ref. 9988).  Possibly to 375 m depth (Ref. 6793).  Parasites found are nematodes, Acanthocephala, copepods and distomes (Ref. 37032).",NA,NA,NA,NA,NA,NA,non-guarder,NA,13,schooling,Beukhof et al. 2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sardinops sagax,Clupeidae,Clupeiformes,Sardinops sagax,NA,0,150,oceanodromous,41,TL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"In South America it is caught down to depths of about 40 m, in summer at 16 to 23 C, in winter at 10 to 18 C.  Forms large schools in the Peru current.  Likewise in North America, it forms large schools, up to 10 million individuals; it is migratory with a definite northward movement between California and British Columbia waters in summer and return in autumn, winter.  Zooplankton and phytoplankton feeder.  Food items of larvae and early juveniles consist of copepods and larvaceans (Ref. 32837).  Young fish feeds on zooplankton such as copepods and adults on phytoplankton (Ref. 39882).  Employs both filter- and particulate-feeding modes on phytoplankton and zooplankton (Ref. 42392).","Neritic (Ref. 11230).  A coastal species that forms large schools (Ref. 188).  Occur at temperatures ranging from 16ª?? to 23ª??C in summer and from 10ª?? to 18ª??C in winter.  Feed mainly on planktonic crustaceans.  Young fish feed on zooplankton such as copepod and adults on phytoplankton (Ref. 39882).  Oviparous, with pelagic eggs, and pelagic larvae (Ref. 265).  Possibly can live up to 25 years (Ref. 265).  In the California region, pilchards make northward migrations early in summer and travel back south again in autumn.  With each year of life, the migration becomes farther (Ref. 6885).  Marketed fresh, frozen or canned.  Utilized mainly for fish meal; but also eaten fried and broiled (Ref. 9988).  Main source of landing:  NE Pacific:  Mexico (Ref. 4931).",NA,NA,NA,NA,enter estuaries,NA,non-guarder,NA,25,schooling,"Mecklenburg, Beukhof et al. 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Archistes biseriatus,Cottidae,Scorpaeniformes,Archistes biseriatus,demersal,10,200,NA,17,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Minimum depth reported taken from Ref. 50610.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Archistes plumarius,Cottidae,Scorpaeniformes,Archistes plumarius,demersal,10,100,NA,7.199999809,TL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Artediellus camchaticus,Cottidae,Scorpaeniformes,Artediellus camchaticus,demersal,25,520,NA,16.5,OT,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Maximum length type refers to body length.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
